id,date,ticker,entry_price,exit_price,sl_price,tp1,tp2,status,fees,net_profit,forecast_type,forecast_score,trend_rating,earnings_day,executed_on_nordnet,created_at
112,2025-08-11,NVDA,182.88,182.06,181.51,184.25,185.62,closed,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 04:28:56
115,2025-08-11,NVDA,182.88,182.06,181.51,184.25,185.62,closed,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 04:30:37
118,2025-08-11,NVDA,182.88,182.06,181.51,184.25,185.62,closed,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 04:30:56
121,2025-08-11,NVDA,182.88,182.06,181.51,184.25,185.62,closed,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 04:37:18
124,2025-08-11,NVDA,182.88,182.06,181.51,184.25,185.62,closed,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 04:40:49
127,2025-08-11,NVDA,182.88,183.48,181.51,184.25,185.62,closed,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 14:12:52
130,2025-08-11,NVDA,182.88,183.48,181.51,184.25,185.62,closed,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 14:12:52
133,2025-08-11,NVDA,182.88,183.48,181.51,184.25,185.62,closed,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 14:13:32
136,2025-08-11,NVDA,182.88,183.48,181.51,184.25,185.62,closed,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 19:31:46
139,2025-08-11,NVDA,182.88,183.48,181.51,184.25,185.62,closed,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 19:31:50
104,2025-08-11,TSLA,342.22,339.56,339.65,344.79,347.35,SL,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 04:27:35
107,2025-08-11,TSLA,342.22,339.56,339.65,344.79,347.35,SL,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 04:27:41
110,2025-08-11,TSLA,342.22,339.56,339.65,344.79,347.35,SL,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 04:28:56
113,2025-08-11,TSLA,342.22,339.56,339.65,344.79,347.35,SL,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 04:30:37
116,2025-08-11,TSLA,342.22,339.56,339.65,344.79,347.35,SL,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 04:30:56
119,2025-08-11,TSLA,342.22,339.56,339.65,344.79,347.35,SL,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 04:37:18
122,2025-08-11,TSLA,342.22,339.56,339.65,344.79,347.35,SL,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 04:40:48
125,2025-08-11,TSLA,342.22,339.56,339.65,344.79,347.35,SL,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 14:12:52
128,2025-08-11,TSLA,342.22,339.56,339.65,344.79,347.35,SL,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 14:12:52
131,2025-08-11,TSLA,342.22,339.56,339.65,344.79,347.35,SL,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 14:13:31
134,2025-08-11,TSLA,342.22,339.56,339.65,344.79,347.35,SL,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 19:31:46
137,2025-08-11,TSLA,342.22,339.56,339.65,344.79,347.35,SL,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 19:31:50
2,2025-08-08,AAPL,221.46,NULL,219.25,223.67,225.88,TP2,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 12:51:41
5,2025-08-08,AAPL,221.46,NULL,219.25,223.67,225.88,TP2,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 12:52:29
8,2025-08-08,AAPL,221.46,NULL,219.25,223.67,225.88,TP2,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 12:53:13
11,2025-08-08,AAPL,221.46,NULL,219.25,223.67,225.88,TP2,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 13:27:00
